iter	Passed	Remaining
766	11629	3532
767	11645	3517
768	11661	3502
769	11676	3487
770	11693	3473
771	11709	3458
772	11724	3443
773	11740	3427
774	11755	3412
775	11771	3398
776	11787	3383
777	11803	3368
778	11818	3352
779	11833	3337
780	11848	3322
781	11864	3307
782	11880	3292
783	11896	3277
784	11912	3262
785	11927	3247
786	11943	3232
787	11959	3217
788	11975	3202
789	11991	3187
790	12006	3172
791	12022	3157
792	12037	3142
793	12054	3127
794	12070	3112
795	12085	3097
796	12100	3082
797	12119	3067
798	12133	3052
799	12149	3037
800	12165	3022
801	12182	3007
802	12199	2992
803	12217	2978
804	12232	2963
805	12248	2948
806	12265	2933
807	12281	2918
808	12297	2903
809	12313	2888
810	12329	2873
811	12345	2858
812	12361	2843
813	12377	2828
814	12393	2813
815	12409	2798
816	12424	2783
817	12440	2768
818	12456	2752
819	12472	2737
820	12488	2722
821	12504	2707
822	12522	2693
823	12537	2678
824	12553	2662
825	12569	2647
826	12585	2632
827	12600	2617
828	12616	2602
829	12632	2587
830	12648	2572
831	12664	2557
832	12679	2542
833	12695	2526
834	12711	2511
835	12727	2496
836	12744	2481
837	12760	2466
838	12776	2451
839	12792	2436
840	12808	2421
841	12824	2406
842	12840	2391
843	12855	2376
844	12871	2361
845	12888	2346
846	12903	2330
847	12920	2315
848	12937	2301
849	12953	2285
850	12969	2270
851	12985	2255
852	13001	2240
853	13017	2225
854	13033	2210
855	13050	2195
856	13065	2180
857	13081	2165
858	13097	2149
859	13113	2134
860	13130	2119
861	13148	2104
862	13164	2089
863	13181	2074
864	13197	2059
865	13214	2044
866	13230	2029
867	13246	2014
868	13262	1999
869	13278	1984
870	13294	1968
871	13311	1953
872	13326	1938
873	13342	1923
874	13358	1908
875	13374	1893
876	13390	1878
877	13406	1862
878	13421	1847
879	13437	1832
880	13453	1817
881	13469	1802
882	13485	1786
883	13501	1771
884	13518	1756
885	13534	1741
886	13551	1726
887	13567	1711
888	13582	1695
889	13599	1680
890	13614	1665
891	13630	1650
892	13646	1635
893	13662	1619
894	13678	1604
895	13694	1589
896	13710	1574
897	13726	1559
898	13742	1543
899	13758	1528
900	13774	1513
901	13790	1498
902	13805	1483
903	13823	1467
904	13840	1452
905	13856	1437
906	13871	1422
907	13887	1407
908	13902	1391
909	13918	1376
910	13936	1361
911	13954	1346
912	13972	1331
913	13991	1316
914	14012	1301
915	14031	1286
916	14046	1271
917	14065	1256
918	14083	1241
919	14099	1226
920	14115	1210
921	14131	1195
922	14146	1180
923	14162	1164
924	14179	1149
925	14195	1134
926	14212	1119
927	14228	1103
928	14243	1088
929	14260	1073
930	14276	1058
931	14292	1042
932	14307	1027
933	14324	1012
934	14340	996
935	14357	981
936	14373	966
937	14388	951
938	14404	935
939	14420	920
940	14436	905
941	14454	889
942	14469	874
943	14486	859
944	14502	844
945	14518	828
946	14534	813
947	14550	798
948	14566	782
949	14582	767
950	14598	752
951	14614	736
952	14630	721
953	14645	706
954	14661	690
955	14677	675
956	14693	660
957	14710	644
958	14725	629
959	14741	614
960	14757	598
961	14774	583
962	14790	568
963	14806	552
964	14822	537
965	14840	522
966	14857	507
967	14874	491
968	14890	476
969	14906	461
970	14922	445
971	14940	430
972	14956	415
973	14972	399
974	14988	384
975	15004	368
976	15020	353
977	15036	338
978	15053	322
979	15071	307
980	15087	292
981	15103	276
982	15119	261
983	15136	246
984	15152	230
985	15169	215
986	15185	200
987	15203	184
988	15219	169
989	15238	153
990	15254	138
991	15270	123
992	15286	107
993	15302	92
994	15318	76
995	15334	61
996	15351	46
997	15367	30
998	15385	15
999	15400	0
